"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Sep 12 17:42:42 +0000 2023","1701652568483717562","iPhone 15 is 1 gram lighter then iPhone 14.   #Apple #AppleEvent https://t.co/kAAnq4K2wt","32","61","361","2941","en","1218290974314635264","1701652568483717562","UTDEzra_","https://twitter.com/UTDEzra_/status/1701652568483717562","https://pbs.twimg.com/ext_tw_video_thumb/1701652549416181761/pu/img/hQ6reieziB4mGRiv.jpg",""
"Mon Jun 05 19:14:00 +0000 2023","1665799149499842561","I am ready.  #WWDC23 #VisionPro #Apple https://t.co/NmnVsnVjNi","73","45","876","4270","en","1351114532408668163","1665799149499842561","ShitUserStory","https://twitter.com/ShitUserStory/status/1665799149499842561","https://pbs.twimg.com/media/Fx4bfkJXwAEyZY0.jpg",""
"Tue Sep 12 10:10:48 +0000 2023","1701538847405023293","Breaking : Elon Musk changes the like button animation for X Users  Click on the ♥️ button check the Magic 💫   #AppleEvent    #Apple #iPhone15Pro #iphone15 #TypeC #iphone #iPhone15ProMax https://t.co/CsnV9hLmsA","16","49","62","4018","en","960221426535075841","1701538847405023293","ch_taliyan","https://twitter.com/ch_taliyan/status/1701538847405023293","https://pbs.twimg.com/ext_tw_video_thumb/1701538834297556992/pu/img/UCDJJ7WNA_vEFCAd.jpg","Earth"
"Wed Jul 12 22:02:38 +0000 2023","1679249937882820609","Today Apple released the watchOS 10 public beta which includes the Snoopy watch face that I've been working on for the last few months!Hope it brings you as much joy as it has me :) #WatchOS10 #Snoopy #Apple https://t.co/zWEHzc7hIK","31","114","117","2205","en","337914021","1679249937882820609","JohnnySlagle","https://twitter.com/JohnnySlagle/status/1679249937882820609","https://pbs.twimg.com/ext_tw_video_thumb/1679249922028343297/pu/img/Bi4MN7DighAOwhRL.jpg",""
"Fri Jun 09 12:51:25 +0000 2023","1667152418029678594","LISTEN UP WEB3. 👹  THE $LOYAL AIRDROP IS NOW LIVE  WAITING TO BE CLAIMED.  🔗 https://t.co/FSu3HMTqSc  #MATIC $FINALE $BEN #BEN #HODL $FLOKI $SUI $HEX $CAPO $TSUKA #WWDC23 #Apple #Metaverse #Oculus #REFUND $MONG $LINK #4TOKEN #binance #memecoin $LTC #LOYAL $PEPE $MATIC $PSYOP https://t.co/pE4IhMccGP","0","210","6093","5479","en","3316630370","1667152418029678594","Spears_ETH98","https://twitter.com/Spears_ETH98/status/1667152418029678594","https://pbs.twimg.com/media/FyLqSDtXgAArZgW.jpg",""
"Sat Jul 15 10:12:58 +0000 2023","1680158505385496577","#WomenInPower #SkillIndia District Excise and Taxation Commissioner Saroj Devi of Jagadhri in Yamuna Nagar  Haryana tried to assault a resort owner and broke his #Apple #iPhone14Pro in the presence of police and media when he allegedly refused to give her a cut for serving… https://t.co/vpbz8KViL1","16","27","270","444","en","1360285968578670594","1680158505385496577","NCMIndiaa","https://twitter.com/NCMIndiaa/status/1680158505385496577","https://pbs.twimg.com/ext_tw_video_thumb/1680154914658611200/pu/img/LBErCmtHvxizT-st.jpg","India"
"Tue Jun 06 03:01:38 +0000 2023","1665916831780212736","Me walking into apple store after selling my kidney #WWDC23 #Apple https://t.co/qjjXzutmhi","27","51","199","1835","en","1273669060241158145","1665916831780212736","Qid_Memez","https://twitter.com/Qid_Memez/status/1665916831780212736","https://pbs.twimg.com/ext_tw_video_thumb/1665916808946151425/pu/img/AhOAU1EMSLqYjFW5.jpg",""
"Tue Sep 12 13:35:47 +0000 2023","1701590430142603579","Good Morning #apple #AppleEvent https://t.co/ANcyEuFgsQ","7","22","72","789","en","809461895161790464","1701590430142603579","MajinBuOfficial","https://twitter.com/MajinBuOfficial/status/1701590430142603579","https://pbs.twimg.com/ext_tw_video_thumb/1701590194523402241/pu/img/7LdLI8LKREjLxPjb.jpg","The World"
"Sat Sep 23 14:36:52 +0000 2023","1705592069811536044","Apple Mouse  #applemouse #Apple  #Mouse https://t.co/PRb9chyr6L","2","5","100","514","en","774598332975050752","1705592069811536044","simon_dell_tog","https://twitter.com/simon_dell_tog/status/1705592069811536044","https://pbs.twimg.com/ext_tw_video_thumb/1705591358214303744/pu/img/5gN6GX28-5JP0PPc.jpg","United Kingdom"
"Sat Apr 15 14:58:12 +0000 2023","1647252993786490881","Concept: iOS Mail App  Part 1/2  Full concept on Behance:  https://t.co/24IinurpWA  #apple #iOS17 https://t.co/Ma80c8yI5g","18","57","139","1991","en","1347535090302201859","1647252993786490881","ejubbicic","https://twitter.com/ejubbicic/status/1647252993786490881","https://pbs.twimg.com/media/Ftw33NfWcAUdSjM.jpg","Amsterdam, The Netherlands"
"Wed Feb 22 22:37:48 +0000 2023","1628524484801056768","Today's #SnackMe was delicious Sugar Bee apple.  I love this variety  very sweet but with just a touch of tartness.  And very cronchy #dogsoftwitter #DogsofTwittter #dogs #fruit #Yummy #fruit #Apple https://t.co/cyd8dNWDl9","1","68","55","1120","en","2384269582","1628524484801056768","rexthetvterrier","https://twitter.com/rexthetvterrier/status/1628524484801056768","https://pbs.twimg.com/ext_tw_video_thumb/1628524252814008320/pu/img/5wCZdoimbSiFAfio.jpg","Massachusetts"
"Thu Oct 26 19:43:14 +0000 2023","1717627967335997802","They are back !  #waxwing #phonescoping #manualfocus #kowascoping #benrouk #Morayshire #Sco #varioadapter #iPhone15ProMax #kowa88s #apple #phonescoper #slomo #video @BBCAutumnwatch @ChrisGPackham @KowaOptics @Benro_UK @Apple @NatGeoTV @BBCNorthEast https://t.co/TBVCRtmCyx","19","43","239","1588","en","1808813677","1717627967335997802","PaulHdigiman","https://twitter.com/PaulHdigiman/status/1717627967335997802","https://pbs.twimg.com/ext_tw_video_thumb/1717627775664746496/pu/img/ixkW-ljEt5Z4aNzv.jpg",""
"Mon Jun 05 19:38:25 +0000 2023","1665805292511322117","In Senegal  violent repression by police forces instrumentalized by the state  continues to snatch innocent people from their families. Among these is Lassana Diarisso  who died under the gaze (and responsibility?) of the police. His devastated brother reports #Apple #FreeSenegal https://t.co/2CHiHiR9WX","27","13","401","313","en","805860776078692354","1665805292511322117","Traacy____","https://twitter.com/Traacy____/status/1665805292511322117","https://pbs.twimg.com/ext_tw_video_thumb/1665804974821892096/pu/img/wzjmm4PjGQ71VvEh.jpg",""
"Tue Sep 12 09:30:41 +0000 2023","1701528750175748588","Apple does not implement a feature until it's perfect. #AppleEvent #Apple #iPhone15ProMax #iphone15 https://t.co/pzZmi6DPq8","8","45","71","870","en","1671990776425750530","1701528750175748588","SufyanKhanKtk","https://twitter.com/SufyanKhanKtk/status/1701528750175748588","https://pbs.twimg.com/ext_tw_video_thumb/1701528713941364736/pu/img/ENyu_cHsXfVWmD12.jpg","Peshawar, Pakistan"
